Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D11,~,D_SOD-123F,241.3,-55.5625,270.0,bottom
D12,~,D_SOD-123F,260.35,-55.5625,270.0,bottom
D13,~,D_SOD-123F,279.4,-55.5625,270.0,bottom
D14,~,D_SOD-123F,298.45,-55.5625,270.0,bottom
D15,~,D_SOD-123F,317.5,-55.5625,270.0,bottom
D16,~,D_SOD-123F,55.5625,-75.40625,270.0,bottom
D17,~,D_SOD-123F,79.375,-75.40625,270.0,bottom
D18,~,D_SOD-123F,98.425,-75.40625,270.0,bottom
D19,~,D_SOD-123F,117.475,-75.40625,270.0,bottom
D20,~,D_SOD-123F,136.525,-75.40625,270.0,bottom
D21,~,D_SOD-123F,155.575,-75.40625,270.0,bottom
D22,~,D_SOD-123F,174.625,-75.40625,270.0,bottom
D23,~,D_SOD-123F,193.675,-75.40625,270.0,bottom
D24,~,D_SOD-123F,212.725,-75.40625,270.0,bottom
D25,~,D_SOD-123F,231.775,-75.40625,270.0,bottom
D26,~,D_SOD-123F,250.825,-75.40625,270.0,bottom
D27,~,D_SOD-123F,269.875,-75.40625,270.0,bottom
D28,~,D_SOD-123F,288.925,-75.40625,270.0,bottom
D29,~,D_SOD-123F,300.83125,-75.40625,270.0,bottom
D30,~,D_SOD-123F,57.94375,-94.26875,270.0,bottom
D31,~,D_SOD-123F,84.1375,-94.45625,270.0,bottom
D32,~,D_SOD-123F,103.1875,-94.45625,270.0,bottom
D33,~,D_SOD-123F,122.2375,-94.45625,270.0,bottom
D34,~,D_SOD-123F,141.2875,-94.45625,270.0,bottom
D35,~,D_SOD-123F,160.3375,-94.45625,270.0,bottom
D36,~,D_SOD-123F,179.3875,-94.45625,270.0,bottom
D37,~,D_SOD-123F,198.4375,-94.45625,270.0,bottom
D38,~,D_SOD-123F,217.4875,-94.45625,270.0,bottom
D39,~,D_SOD-123F,236.5375,-94.45625,270.0,bottom
D40,~,D_SOD-123F,255.5875,-94.45625,270.0,bottom
D41,~,D_SOD-123F,274.6375,-94.45625,270.0,bottom
D42,~,D_SOD-123F,293.6875,-94.45625,270.0,bottom
D43,~,D_SOD-123F,53.18125,-113.50625,270.0,bottom
D44,~,D_SOD-123F,74.6125,-113.50625,270.0,bottom
D45,~,D_SOD-123F,93.6625,-113.50625,270.0,bottom
D46,~,D_SOD-123F,112.7125,-113.50625,270.0,bottom
D47,~,D_SOD-123F,131.7625,-113.50625,270.0,bottom
D48,~,D_SOD-123F,150.8125,-113.50625,270.0,bottom
D49,~,D_SOD-123F,169.8625,-113.50625,270.0,bottom
D50,~,D_SOD-123F,188.9125,-113.50625,270.0,bottom
D51,~,D_SOD-123F,207.9625,-113.50625,270.0,bottom
D52,~,D_SOD-123F,227.0125,-113.50625,270.0,bottom
D53,~,D_SOD-123F,246.0625,-113.50625,270.0,bottom
D54,~,D_SOD-123F,265.1125,-113.69375,270.0,bottom
D55,~,D_SOD-123F,291.30625,-113.50625,270.0,bottom
D56,~,D_SOD-123F,317.5,-113.50625,270.0,bottom
D57,~,D_SOD-123F,55.5625,-132.55625,270.0,bottom
D58,~,D_SOD-123F,79.375,-132.55625,270.0,bottom
D59,~,D_SOD-123F,103.1875,-132.55625,270.0,bottom
D60,~,D_SOD-123F,184.15,-132.55625,270.0,bottom
D61,~,D_SOD-123F,265.1125,-132.36875,270.0,bottom
D62,~,D_SOD-123F,288.925,-132.55625,270.0,bottom
D63,~,D_SOD-123F,312.7375,-132.55625,270.0,bottom
F1,500mA,Fuse_1206_3216Metric,168.021,-46.83125,90.0,bottom
FB1,Ferrite_Bead_Small,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,172.24375,-43.65625,0.0,bottom
LED1,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.0,-118.26875,0.0,bottom
LED2,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,88.10625,-118.26875,0.0,bottom
LED3,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,50.8,-118.26875,0.0,bottom
LED4,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,38.7445,-99.21875,-90.0,bottom
LED5,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,38.7445,-80.16875,-90.0,bottom
LED6,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,48.41875,-61.11875,180.0,bottom
LED7,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,83.34375,-61.11875,180.0,bottom
LED8,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.44375,-61.11875,180.0,bottom
LED9,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,159.54375,-61.11875,180.0,bottom
LED10,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,197.64375,-61.11875,180.0,bottom
LED11,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,235.74375,-61.11875,180.0,bottom
LED12,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,273.84375,-61.11875,180.0,bottom
LED13,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,308.76875,-61.11875,180.0,bottom
LED14,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,318.44375,-80.16875,90.0,bottom
LED15,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,318.44375,-99.21875,90.0,bottom
LED16,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,312.7375,-118.26875,0.0,bottom
LED17,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,277.8125,-118.26875,0.0,bottom
LED18,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,241.3,-118.26875,0.0,bottom
LED19,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,202.40625,-118.26875,0.0,bottom
LED20,~,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,164.30625,-118.26875,0.0,bottom
MX1,MX-NoLED,mx_1u,45.24375,-51.59375,0.0,top
MX2,~,mx_1u,64.29375,-51.59375,0.0,top
MX3,~,mx_1u,83.34375,-51.59375,0.0,top
MX4,~,mx_1u,102.39375,-51.59375,0.0,top
MX5,~,mx_1u,121.44375,-51.59375,0.0,top
MX6,~,mx_1u,140.49375,-51.59375,0.0,top
MX7,~,mx_1u,159.54375,-51.59375,0.0,top
MX8,~,mx_1u,178.59375,-51.59375,0.0,top
MX9,~,mx_1u,197.64375,-51.59375,0.0,top
MX10,~,mx_1u,216.69375,-51.59375,0.0,top
MX11,~,mx_1u,235.74375,-51.59375,0.0,top
MX12,~,mx_1u,254.79375,-51.59375,0.0,top
MX13,~,mx_1u,273.84375,-51.59375,0.0,top
MX14,~,mx_1u,292.89375,-51.59375,0.0,top
